time;bulk
5380;198.8025582
5390;200.4082188
5400;198.3399102
5410;198.5304123
5420;200.1905021
5430;200.6531501
5440;198.2310518
5450;199.1019186
5460;200.2721459
5470;198.5576269
5480;198.9114165
5490;198.0405497
5500;200.3537896
5510;200.0544292
5520;199.8639271
5530;198.5576269
5540;200.2177167
5550;198.3943394
5560;197.7684039
5570;199.673425
5580;199.5101374
5590;198.5576269
5600;199.4557083
5610;199.5101374
5620;199.3196353
5630;201.6056606
5640;198.3399102
5650;200.462648
5660;199.8094979
5670;199.4284937
5680;198.9386311
5690;199.673425
5700;199.074704
5710;200.462648
5720;200.2449313
5730;198.9930603
5740;197.8500476
5750;200.0544292
5760;199.2379916
5770;200.1360729
5780;199.7278541
5790;199.4557083
5800;198.6664852
5810;199.4557083
5820;198.9658457
5830;198.3943394
5840;199.4557083
5850;199.4284937
5860;199.8911417
5870;200.2177167
5880;198.0949789
5890;199.4829228
5900;199.7006395
5910;199.7822833
5920;200.7620084
5930;200.5442917
5940;199.9183562
5950;199.7822833
5960;198.8297728
5970;200.2177167
5980;199.6462104
5990;198.8842019
6000;198.9386311
6010;200
6020;200.6803647
6030;199.4012791
6040;200.1632875
6050;199.5917812
6060;200.2177167
6070;199.1835624
6080;199.537352
6090;199.1291332
6100;199.3740645
6110;199.1563478
6120;198.4759831
6130;199.210777
6140;200.4354334
6150;200.0816438
6160;199.3196353
6170;200.8436522
6180;199.8367125
6190;199.0202749
6200;199.673425
6210;199.7278541
6220;200.0272146
6230;200.2449313
6240;198.8569873
6250;200.3537896
6260;199.8367125
6270;198.7209144
6280;200.1905021
6290;199.8911417
6300;198.9386311
6310;198.8025582
6320;198.6392706
6330;199.5917812
6340;199.673425
6350;198.4487685
6360;199.8639271
6370;200.1632875
6380;200.3537896
6390;200.0816438
6400;200.1905021
6410;199.6462104
6420;198.9658457
6430;198.9386311
6440;198.8025582
6450;198.5576269
6460;199.5101374
6470;199.9183562
6480;199.8094979
6490;198.3399102
6500;201.1974418
6510;199.5917812
6520;198.3671248
6530;198.5576269
6540;200.1905021
6550;198.7753436
6560;199.1563478
6570;198.5304123
6580;199.5101374
6590;200.5715063
6600;198.8842019
6610;200.8980814
6620;200.5170772
6630;199.1835624
6640;201.5512315
6650;199.3196353
6660;199.3740645
6670;199.1019186
6680;199.1019186
6690;200.1632875
6700;200.6531501
6710;200
6720;199.537352
6730;199.2379916
6740;199.8094979
6750;199.1291332
6760;199.3740645
6770;200.7347938
6780;199.5917812
6790;199.7006395
6800;200.3810042
6810;198.8569873
6820;200.0544292
6830;199.1835624
6840;200.0544292
6850;200.2449313
6860;199.6189958
6870;198.7209144
6880;197.9044768
6890;199.7006395
6900;199.1291332
6910;199.2924207
6920;200.4898626
6930;200.0544292
6940;198.9930603
6950;199.7822833
6960;200.1360729
6970;201.578446
6980;199.3740645
6990;200.0272146
7000;199.7278541
7010;199.2652062
7020;200.0272146
7030;198.9386311
7040;199.210777
7050;199.8367125
7060;200.6803647
7070;201.5240169
7080;200.2177167
7090;198.9930603
7100;200.5170772
7110;199.8367125
7120;199.210777
7130;199.5645666
7140;200.5442917
7150;199.673425
7160;200.4898626
7170;200
7180;200.7075793
7190;199.0474895
7200;200.326575
7210;199.9183562
7220;201.2790856
7230;198.9930603
7240;200.5987209
7250;200.4082188
7260;201.0341543
7270;199.2924207
7280;201.8233773
7290;200.1088583
