TRACK_ID;POSITION_X;POSITION_Y;POSITION_T;RADIUS;MEAN_INTENSITY_CH1;MEAN_INTENSITY_CH3
22;1797.794008;264.4731872;31;32.5;56.84286934;147.5789923
22;1799.3909;265.067817;32;32.5;57.02704241;147.0703103
22;1822.459535;392.9102203;57;32.5;56.65015656;142.6387703
22;1712.884817;192.070561;9;32.5;55.33674922;151.7124964
22;1678.848647;272.9590951;1;32.5;57.27754056;147.8047253
22;1765.438574;346.1795253;45;32.5;55.22459436;142.7549103
22;1662.959059;150.0057179;19;32.5;55.13549673;148.0962141
22;1806.636539;271.0351772;33;32.5;56.86848847;148.2200399
22;1802.737179;266.3833048;44;32.5;56.9225733;148.5582124
22;1706.38928;186.3824637;21;32.5;55.42271563;150.0945061
22;1792.947725;260.2746703;40;32.5;56.60518076;146.754341
22;1825.550832;394.5707753;53;32.5;56.40449758;142.2211785
22;1697.112073;179.9400841;11;32.5;55.65271847;150.2533447
22;1673.821447;159.854135;16;32.5;55.71306576;148.1813265
22;1803.023527;267.5271549;37;32.5;57.06262454;147.2282949
22;1664.783013;265.5543943;5;32.5;53.64104754;145.2783945
22;1625.515509;231.8641887;6;32.5;53.01081697;145.3464276
22;1819.279965;280.4397065;34;32.5;57.02163393;147.5710219
22;1652.807636;141.3582694;14;32.5;56.28664959;150.3706234
22;1785.793151;254.6460319;35;32.5;56.72701395;148.6743524
22;1812.327144;273.0577972;29;32.5;57.39595787;148.2792485
22;1811.688527;382.0020917;52;32.5;55.32080843;141.7682892
22;1628.76942;231.7697569;8;32.5;53.67378309;144.5368631
22;1793.546643;260.7697427;30;32.5;56.2038144;147.4654142
22;1737.922665;215.752694;28;32.5;55.85397096;146.9442072
22;1662.502221;151.9426224;17;32.5;55.27526331;149.1141475
22;1828.860243;400.2509227;58;32.5;56.73697694;142.2860803
22;1656.796882;139.306775;20;32.5;55.96384856;151.2243097
22;1738.603245;213.519323;22;32.5;56.29177341;149.195844
22;1837.160964;406.8882692;59;32.5;56.37916311;142.1300882
22;1799.381752;263.6849279;39;32.5;57.3746086;148.4793624
22;1837.18607;406.1629602;55;32.5;56.1813265;142.4170225
22;1652.573065;143.8598346;15;32.5;55.43467122;148.4403644
22;1793.462857;259.1677334;36;32.5;56.74750925;146.8303444
22;1777;353;47;32.5;55.23398804;141.1517222
22;1642.307063;249.0838311;0;32.5;58.14118987;516.3993738
22;1714.908293;192.7104858;23;32.5;55.26501566;148.695417
22;1803.715611;269.5254991;42;32.5;57.08852832;147.7298605
22;1758.678123;228.6322663;25;32.5;56.52092229;149.4756618
22;1764.472961;344.471752;46;32.5;55.37773982;141.0873897
22;1788.04305;254.431361;41;32.5;56.44036436;147.7546257
22;1657.442743;258.2077407;2;32.5;53.58497011;146.5417022
22;1826.28429;394.2669405;51;32.5;55.96527185;142.3213777
22;1792.270879;259.2033607;43;32.5;56.46399089;147.5562198
22;1769.274433;347.4653403;49;32.5;55.42470823;140.3316254
22;1655.146473;145.4399934;13;32.5;54.78565329;148.9154569
22;1741.732476;214.2259223;26;32.5;56.23313407;149.5408483
22;1794.404779;259.7280821;38;32.5;56.81781953;147.4822089
22;1665.1955;266.4456017;3;32.5;53.56219755;145.41076
22;1773.069593;352.6919643;48;32.5;55.73640763;141.508682
22;1695.427758;177.0051196;18;32.5;56.25505266;149.0666097
22;1698.983963;184.4682624;7;32.5;54.41132935;151.3290635
22;1836.03978;404.8203948;56;32.5;56.2832337;141.892115
22;1668.739373;265.545663;4;32.5;53.88699118;144.9481924
22;1661.564494;150.4475716;12;32.5;54.82009678;149.6063194
22;1728.105987;205.0249121;24;32.5;55.84799317;148.5678907
22;1800.322526;372.1913176;50;32.5;55.76800455;140.7677199
36;1716.629524;446.1911405;41;32.5;146.8374609;932.7597495
36;1716.103785;445.5196251;25;32.5;120.0851124;932.4230003
36;1715.636149;443.3070722;17;32.5;104.3324794;911.9234273
36;1716.31672;446.4497877;54;32.5;164.9091944;932.4136066
36;1716.514177;446.6990818;48;32.5;157.3196698;939.0270424
