time;bulk
403;161.1428571
404;161.6761905
405;161.6761905
406;159.6190476
407;160.0761905
408;162.2095238
409;160.9142857
410;161.6761905
411;164.4190476
412;161.447619
413;163.8857143
414;160.5333333
415;161.9809524
416;162.3619048
417;162.6666667
418;163.2
419;163.4285714
420;164.8
421;162.8190476
422;163.8857143
423;163.1238095
424;164.8
425;164.8761905
426;162.6666667
427;165.0285714
428;166.7047619
429;163.2761905
430;163.9619048
431;165.1047619
432;163.5809524
433;164.0380952
434;166.3238095
435;168.2285714
436;166.552381
437;165.5619048
438;166.6285714
439;164.5714286
440;167.3142857
441;165.1809524
442;168.4571429
443;165.1047619
444;163.4285714
445;164.7238095
446;167.0095238
447;166.0190476
448;167.3142857
449;166.247619
450;166.7047619
451;168.5333333
452;165.0285714
453;165.7142857
454;167.847619
455;166.247619
456;170.0571429
457;168.6857143
458;168.8380952
459;164.8761905
460;169.2190476
461;169.3714286
462;167.3142857
463;167.3142857
464;166.9333333
465;169.6
466;167.0095238
467;170.3619048
468;167.9238095
469;171.8857143
470;168.152381
471;169.3714286
472;168.6857143
473;168.6095238
474;169.752381
475;168.2285714
476;169.6
477;168.6095238
478;172.1904762
479;170.3619048
480;169.9809524
481;169.9047619
482;169.6
483;171.2761905
484;170.0571429
485;168.7619048
486;170.2095238
487;169.2190476
488;171.5047619
489;170.8952381
490;169.6
491;172.2666667
492;172.1142857
493;170.9714286
494;173.7142857
495;171.5809524
496;170.2857143
497;171.7333333
498;171.047619
499;171.7333333
500;171.8095238
501;172.4190476
502;172.1142857
503;174.1714286
504;172.2666667
505;174.247619
506;171.5809524
507;172.3428571
508;171.8857143
509;172.647619
510;174.0952381
511;171.2761905
512;173.4095238
513;174.0952381
514;172.8
515;171.352381
516;173.6380952
517;171.8857143
518;172.0380952
519;174.7047619
520;173.1047619
521;173.8666667
522;172.647619
523;172.4190476
524;174.0190476
525;172.5714286
526;174.4
527;173.4857143
528;172.1142857
529;174.0190476
530;173.2571429
531;174.552381
532;173.0285714
533;174.8571429
534;175.5428571
535;175.1619048
536;173.4857143
537;174.552381
538;174.4
539;175.0857143
540;175.2380952
541;174.6285714
542;174.7809524
543;175.5428571
544;176.8380952
545;176.5333333
546;173.2571429
547;175.0095238
548;174.9333333
549;176.9142857
550;175.5428571
551;176.5333333
552;175.3904762
553;175.3904762
554;175.1619048
555;177.2952381
556;175.0857143
557;175.6952381
558;177.2190476
559;173.7904762
560;177.6
561;177.5238095
562;176.7619048
563;177.5238095
564;177.9809524
565;176.4571429
566;176.6095238
567;176.6095238
568;176.9904762
569;176.9142857
570;179.6571429
571;176.9142857
572;178.2095238
573;178.8190476
574;177.9047619
575;177.9047619
576;176.8380952
577;177.6761905
578;176.9142857
579;179.2
580;177.0666667
581;179.6571429
582;180.647619
583;177.9047619
584;177.5238095
585;178.7428571
586;178.1333333
587;180.1904762
588;179.6571429
589;179.5047619
590;175.3142857
591;178.5904762
592;177.6761905
593;178.2095238
594;177.9809524
595;178.8952381
596;178.8190476
597;179.7333333
598;179.8095238
599;177.8285714
600;180.7238095
610;181.3333333
620;182.0190476
630;185.1428571
640;185.752381
650;185.5238095
660;186.2095238
670;187.047619
680;185.447619
690;187.6571429
700;187.6571429
710;188.1904762
720;188.0380952
730;190.6285714
740;191.0857143
750;189.4857143
760;190.7047619
770;194.3619048
780;191.6952381
790;192.2285714
800;192.9904762
810;190.247619
820;194.6666667
830;195.047619
840;192.0761905
850;193.5238095
860;194.5904762
870;195.2761905
880;192.9904762
890;194.8190476
900;197.0285714
910;195.047619
920;198.6285714
930;196.1904762
940;196.5714286
950;198.0952381
960;196.8
970;197.6380952
980;198.4
990;198.7047619
1000;195.9619048
1010;198.7809524
1020;197.7142857
1030;195.9619048
1040;197.7904762
1050;199.3904762
1060;196.3428571
1070;200.0761905
1080;196.5714286
1090;199.9238095
1100;196.8761905
1110;197.1047619
1120;198.0190476
1130;199.0857143
1140;200
1150;199.847619
1160;201.8285714
1170;199.6190476
1180;199.7714286
1190;198.7809524
1200;200.6095238
1210;201.0666667
1220;201.5238095
1230;201.3714286
1240;201.9809524
1250;200.152381
1260;200.9142857
1270;202.5142857
1280;201.0666667
1290;199.5428571
1300;199.6190476
1310;202.8952381
